step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:
413,121.065,0.3561,-0.0764997,10.264,0.1
414,121.177,0.3343,-0.0687268,10.2736,0.1
415,121.284,0.3269,-0.0739103,10.2767,0.1
416,121.372,0.2967,-0.0619186,10.2892,0.1
417,121.447,0.2733,-0.0624353,10.2985,0.1
418,121.517,0.2653,-0.0679279,10.3016,0.1
419,121.571,0.2333,-0.0552446,10.3139,0.1
420,121.615,0.2086,-0.0557989,10.323,0.1
421,121.649,0.1835,-0.0532206,10.3322,0.1
422,121.679,0.1751,-0.0591482,10.3352,0.1
423,121.704,0.1582,-0.0541373,10.3413,0.1
424,121.727,0.1496,-0.0566721,10.3442,0.1
425,121.742,0.1238,-0.047274,10.3532,0.1
426,121.753,0.1063,-0.0488971,10.3591,0.1
427,121.76,0.0799,-0.0427371,10.3681,0.1
428,121.765,0.0711,-0.0489326,10.371,0.1
429,121.766,0.0355,-0.0346704,10.3827,0.1
430,121.766,0.0084,-0.0353646,10.3914,0.1
431,121.766,-0.0097,-0.0371497,10.3972,0.1
432,121.768,-0.046,-0.0262167,10.4087,0.1
433,121.771,-0.0551,-0.0361592,10.4116,0.1
434,121.777,-0.0732,-0.0307126,10.4173,0.1
435,121.783,-0.0823,-0.0333614,10.4201,0.1
436,121.792,-0.0915,-0.0323557,10.4229,0.1
437,121.804,-0.1098,-0.0268308,10.4286,0.1
438,121.818,-0.1189,-0.0295413,10.4314,0.1
439,121.834,-0.1281,-0.0285173,10.4342,0.1
440,121.862,-0.165,-0.0136648,10.4454,0.1
441,121.899,-0.1927,-0.0144784,10.4537,0.1
442,121.947,-0.2202,-0.0116983,10.4619,0.1
443,122.008,-0.2475,-0.0089246,10.4701,0.1
444,122.084,-0.2745,-0.00620735,10.4783,0.1
445,122.18,-0.3103,0.0010478,10.489,0.1
446,122.294,-0.3369,0.00019625,10.4971,0.1
447,122.467,-0.4166,0.0296146,10.526,0.1
448,122.65,-0.4276,0.00344835,10.5312,0.1
449,122.837,-0.4326,0.00176465,10.5336,0.1
450,123.036,-0.4464,0.00688785,10.5414,0.1
451,123.246,-0.4582,0.00749695,10.5491,0.1
